,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
0,030110303233212,0001100110100010,2,7.0,4.0,0.38392857142857145,-3.8,6,13,030110121233212,2
1,030323001012121,0001100111001010,1,7.0,5.0,0.41964285714285715,-4.9,7,131,030301011232121,1
2,030323001012121,0001100111101010,1,7.0,5.0,0.41964285714285715,-4.9,8,131,030301011232121,1
3,030103003223212,0001101000010010,2,7.0,4.0,0.36607142857142855,-3.8,5,15,030100122123212,2
4,030103033212321,0001101000011001,1,8.0,4.0,0.328125,-3.9,6,82,032303221210121,1
5,030103003223212,0001101000110010,2,7.0,4.0,0.36607142857142855,-3.8,6,15,030100122123212,2
6,030103033212230,0001101000111001,2,8.0,5.0,0.328125,-4.8,7,7,032212330301030,2
7,030103032332112,0001101001000010,1,7.0,4.0,0.36607142857142855,-3.9,5,79,033011012123212,2
8,030103032332112,0001101001000110,1,7.0,4.0,0.36607142857142855,-3.9,6,79,033011012123212,2
9,030103322330012,0001101010101001,4,8.0,5.0,0.3125,-4.6,7,2,032211001123212,4
10,030103033212230,0001101010111001,2,8.0,6.0,0.328125,-5.8,8,7,032212330301030,2
11,030103032332112,0001101011000010,1,7.0,4.0,0.36607142857142855,-3.9,6,79,033011012123212,2
12,030103303321212,0001101100001010,2,7.0,4.0,0.4017857142857143,-3.8,6,22,030301121123212,1
13,030103303232112,0001101100100010,1,7.0,4.0,0.38392857142857145,-3.9,6,27,033010121123212,2
14,030103032332112,0001101101000010,1,7.0,4.0,0.36607142857142855,-3.9,6,79,033011012123212,2
15,030103032332112,0001101101000110,1,7.0,4.0,0.36607142857142855,-3.9,7,79,033011012123212,2
16,030323001012121,0001101101001010,1,7.0,5.0,0.41964285714285715,-4.9,7,131,030301011232121,1
17,030323001012121,0001101101101010,1,7.0,5.0,0.41964285714285715,-4.9,8,131,030301011232121,1
18,030103032332112,0001101111000010,1,7.0,4.0,0.36607142857142855,-3.9,7,79,033011012123212,2
19,030323001012121,0001101111001010,1,7.0,5.0,0.41964285714285715,-4.9,8,131,030301011232121,1
20,030323001012121,0001101111101010,1,7.0,5.0,0.41964285714285715,-4.9,9,131,030301011232121,1
21,030101033233212,0001110010100010,1,7.0,4.0,0.4017857142857143,-3.9,6,15,030110112323212,2
22,030101033232321,0001110010101001,1,7.0,5.0,0.38392857142857145,-4.9,7,31,032323221010121,1
23,030101033233212,0001110010110010,1,7.0,5.0,0.4017857142857143,-4.9,7,15,030110112323212,2
24,030110303233212,0001110100100010,2,7.0,4.0,0.38392857142857145,-3.8,6,13,030110121233212,2
25,030323001012121,0001110101001010,1,7.0,5.0,0.41964285714285715,-4.9,7,131,030301011232121,1
26,030323001012121,0001110111001010,1,7.0,5.0,0.41964285714285715,-4.9,8,131,030301011232121,1
27,030103032332112,0001111001000010,1,7.0,4.0,0.36607142857142855,-3.9,6,79,033011012123212,2
28,030101033233212,0001111010100010,1,7.0,4.0,0.4017857142857143,-3.9,7,15,030110112323212,2
29,030103032332112,0001111101000010,1,7.0,4.0,0.36607142857142855,-3.9,7,79,033011012123212,2
30,030103032321221,0010000000000101,0,8.0,2.0,0.46875,-2.0,3,266,033032321210121,1
31,030103032321221,0010000000000111,0,8.0,2.0,0.46875,-2.0,4,266,033032321210121,1
32,030103032321221,0010000000010101,0,8.0,2.0,0.46875,-2.0,4,266,033032321210121,1
33,030103032222210,0010000000011001,1,8.0,3.0,0.4375,-2.9,4,17,032222210103010,1
34,032303010101223,0010000000100001,0,8.0,2.0,0.390625,-2.0,3,601,033212121010301,1
35,032303010101223,0010000000100011,0,8.0,2.0,0.390625,-2.0,4,601,033212121010301,1
36,032303010101223,0010000000100101,0,8.0,3.0,0.390625,-3.0,4,601,033212121010301,1
37,032303010101223,0010000000100111,0,8.0,3.0,0.390625,-3.0,5,601,033212121010301,1
38,032303010101223,0010000000101101,0,8.0,3.0,0.390625,-3.0,5,601,033212121010301,1
39,032303010101223,0010000000101111,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
40,030103032321221,0010000001000101,0,8.0,2.0,0.46875,-2.0,4,266,033032321210121,1
41,030103032321221,0010000001010101,0,8.0,2.0,0.46875,-2.0,5,266,033032321210121,1
42,032303010101223,0010000010000001,0,8.0,2.0,0.390625,-2.0,3,601,033212121010301,1
43,032303010101223,0010000010000011,0,8.0,2.0,0.390625,-2.0,4,601,033212121010301,1
