,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
0,030323001012121,0001100111001010,1,7.0,5.0,0.41964285714285715,-4.0,7,79,030301011232121,1
1,030323001012121,0001100111101010,1,7.0,5.0,0.41964285714285715,-4.0,8,79,030301011232121,1
2,030103032332112,0001101001000010,1,7.0,4.0,0.36607142857142855,-3.0,5,38,033011012123212,2
3,030103032332112,0001101001000110,1,7.0,4.0,0.36607142857142855,-3.0,6,38,033011012123212,2
4,030103032332112,0001101011000010,1,7.0,4.0,0.36607142857142855,-3.0,6,38,033011012123212,2
5,030103032332112,0001101101000010,1,7.0,4.0,0.36607142857142855,-3.0,6,38,033011012123212,2
6,030103032332112,0001101111000010,1,7.0,4.0,0.36607142857142855,-3.0,7,38,033011012123212,2
7,030101033232321,0001110010101001,1,7.0,5.0,0.38392857142857145,-4.0,7,20,032323221010121,1
8,030323001012121,0001110101001010,1,7.0,5.0,0.41964285714285715,-4.0,7,79,030301011232121,1
9,030323001012121,0001110111001010,1,7.0,5.0,0.41964285714285715,-4.0,8,79,030301011232121,1
10,030103032332112,0001111001000010,1,7.0,4.0,0.36607142857142855,-3.0,6,38,033011012123212,2
11,030103032321221,0010000000000101,0,8.0,2.0,0.46875,-2.0,3,415,033032321210121,1
12,030103032321221,0010000000000111,0,8.0,2.0,0.46875,-2.0,4,415,033032321210121,1
13,030103032321221,0010000000010101,0,8.0,2.0,0.46875,-2.0,4,415,033032321210121,1
14,032303010101223,0010000000100001,0,8.0,2.0,0.390625,-2.0,3,992,033212121010301,1
15,032303010101223,0010000000100011,0,8.0,2.0,0.390625,-2.0,4,992,033212121010301,1
16,032303010101223,0010000000100101,0,8.0,3.0,0.390625,-3.0,4,992,033212121010301,1
17,032303010101223,0010000000100111,0,8.0,3.0,0.390625,-3.0,5,992,033212121010301,1
18,032303010101223,0010000000101101,0,8.0,3.0,0.390625,-3.0,5,992,033212121010301,1
19,032303010101223,0010000000101111,0,8.0,3.0,0.390625,-3.0,6,992,033212121010301,1
20,030103032321221,0010000001000101,0,8.0,2.0,0.46875,-2.0,4,415,033032321210121,1
21,030103032321221,0010000001000111,0,8.0,2.0,0.46875,-2.0,5,415,033032321210121,1
22,030103032321221,0010000001001101,0,8.0,3.0,0.46875,-3.0,5,415,033032321210121,1
23,030103032321221,0010000001001111,0,8.0,3.0,0.46875,-3.0,6,415,033032321210121,1
24,030103032321221,0010000001010101,0,8.0,2.0,0.46875,-2.0,5,415,033032321210121,1
25,030103032321221,0010000001011101,0,8.0,3.0,0.46875,-3.0,6,415,033032321210121,1
26,032303010101223,0010000010000001,0,8.0,2.0,0.390625,-2.0,3,992,033212121010301,1
27,032303010101223,0010000010000011,0,8.0,2.0,0.390625,-2.0,4,992,033212121010301,1
28,032303010121012,0010000010011001,0,8.0,3.0,0.296875,-3.0,5,215,032303232121012,0
29,032303010101223,0010000010100001,0,8.0,3.0,0.390625,-3.0,4,992,033212121010301,1
30,032303010101223,0010000010100011,0,8.0,3.0,0.390625,-3.0,5,992,033212121010301,1
31,032303010101223,0010000010100101,0,8.0,4.0,0.390625,-4.0,5,992,033212121010301,1
32,032303010101223,0010000010100111,0,8.0,4.0,0.390625,-4.0,6,992,033212121010301,1
33,032303010101223,0010000010101001,0,8.0,3.0,0.390625,-3.0,5,992,033212121010301,1
34,032303010101223,0010000010101011,0,8.0,3.0,0.390625,-3.0,6,992,033212121010301,1
35,032303010101223,0010000010101101,0,8.0,4.0,0.390625,-4.0,6,992,033212121010301,1
36,032303010101223,0010000010101111,0,8.0,4.0,0.390625,-4.0,7,992,033212121010301,1
37,032303010101223,0010000011000001,0,8.0,2.0,0.390625,-2.0,4,992,033212121010301,1
38,032303010101223,0010000011100001,0,8.0,3.0,0.390625,-3.0,5,992,033212121010301,1
39,032303010101223,0010000011100011,0,8.0,3.0,0.390625,-3.0,6,992,033212121010301,1
40,032303010101223,0010000011100101,0,8.0,4.0,0.390625,-4.0,6,992,033212121010301,1
41,032303010101223,0010000011100111,0,8.0,4.0,0.390625,-4.0,7,992,033212121010301,1
42,032303010101223,0010000011101101,0,8.0,4.0,0.390625,-4.0,7,992,033212121010301,1
43,032303010101223,0010000011101111,0,8.0,4.0,0.390625,-4.0,8,992,033212121010301,1
44,030103032321221,0010000100000101,0,8.0,2.0,0.46875,-2.0,4,415,033032321210121,1
