,number_of_strands,topology,number_of_jumps,number_of_FabP,contact_order,OFHT
0,4,2134,1,0,0.3333333333333333,14.751387416965978
1,5,32145,1,0,0.3,6.241713375914239
2,5,21345,1,0,0.25,5.036236472780407
3,6,321456,1,0,0.23333333333333334,4.402846093248477
4,3,123,0,0,0.3333333333333333,3.9150974802402803
5,3,213,1,0,0.5,3.617558580472615
6,4,1234,0,0,0.25,1.6774047169991961
7,6,651234,1,0,0.26666666666666666,1.5206294291651778
8,4,4132,2,1,0.5,1.3649166709443377
9,4,4123,1,0,0.4166666666666667,1.0979438138377837
10,5,23145,2,1,0.35,1.0941212545746608
11,4,1432,1,1,0.4166666666666667,1.0116553232863392
12,6,651243,2,1,0.3,1.0032188841201715
13,4,2143,1,1,0.4166666666666667,1.0
14,5,21354,2,1,0.3,1.0
15,6,216543,1,1,0.3,0.8927105449398443
16,5,51234,1,0,0.35,0.7777777777777772
17,6,213465,2,1,0.23333333333333334,0.5914455715957831
18,4,1423,2,1,0.5,0.5707696156612561
19,3,132,1,1,0.5,0.5129080882516959
20,6,321546,2,1,0.3,0.1996047430830036
21,5,12354,1,1,0.25,0.0780075187969923
22,5,21435,2,1,0.35,0.0666666666666664
23,5,51432,2,1,0.45,0.06348882128164368
24,6,123456,0,0,0.16666666666666669,0.05564080816722889
25,6,213456,1,0,0.2,0.048902863696314504
26,5,15423,2,1,0.4,0.04256797778540648
27,6,143256,2,1,0.3,0.038461538461537395
28,5,12345,0,0,0.2,0.03317585805149333
29,6,165243,3,2,0.4,0.0296551151654936
30,6,615423,3,1,0.4333333333333333,0.0288658645276288
31,6,215364,4,1,0.4,0.0242424242424241
32,6,651423,3,1,0.36666666666666664,0.020041097246979497
33,6,165234,2,1,0.36666666666666664,0.0042918454935622
34,6,231456,2,1,0.26666666666666666,0.0034965034965034002
35,6,162543,3,2,0.4666666666666667,0.0026737967914438
36,6,165423,2,1,0.33333333333333337,0.002212073640645
37,5,15432,1,1,0.35,0.0018198362147404
38,5,51423,3,1,0.5,0.0016636957813428001
39,6,321654,1,1,0.3,0.001592356687898
40,6,165432,1,1,0.3,0.0013648771610553
41,6,561234,1,1,0.3,0.000796178343949
42,6,261534,4,1,0.5333333333333333,0.0
43,6,123465,1,1,0.2,0.0
44,5,14253,4,1,0.5,0.0
45,5,21543,1,1,0.35,0.0
46,6,516432,3,1,0.4333333333333333,0.0
47,5,13245,2,1,0.3,0.0
48,6,531642,5,0,0.4333333333333333,0.0
49,6,154263,4,1,0.4666666666666667,0.0
50,6,152463,5,2,0.4666666666666667,0.0
51,6,126354,3,2,0.36666666666666664,0.0
52,6,615234,3,1,0.4666666666666667,0.0
53,6,143625,4,1,0.4666666666666667,0.0
54,6,124356,2,1,0.23333333333333334,0.0
55,6,216345,2,1,0.36666666666666664,0.0
