,uid,domain_id,representative_status,hierarchy_identifier,pdb_identifier,chain_identifier,residue_number,seq_id,accession number,architecture,X_group,H_group,T_group,F_group,domain_assembly_status,non_polymer_entities,reciprocal_of_occupancy_ratio,topology,OFHT,number_of_jumps,number_of_frustrated_alpha-beta-units_pairing
0,001503694,e4c6cA2,AUTO_NONREP,2002.1.1.1050,4c6c,A,"A:1466-1742,A:1797-1821","A:13-289,A:344-368",P27708,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",DHOase,NOT_DOMAIN_ASSEMBLY,"FMT,ZN",0.0002274795268425,123+++,3.91509748024028,0.0,0.0
1,001508487,e4yguD1,AUTO_NONREP,207.2.1.5,4ygu,D,D:28-206,D:5-183,B7AH80,beta duplicates or obligate multimers,"""Single-stranded right-handed beta-helix""","""NO_H_NAME""","""Pectin lyase-like""",DUF2807,NOT_DOMAIN_ASSEMBLY,"EDO,PEG",0.0069444444444444,123+++,3.91509748024028,0.0,0.0
2,000166070,e2jw5A1,AUTO_NONREP,7568.1.1.1,2jw5,A,A:30-135,A:1-106,Q9UGP5,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""BRCT domain""",PTCB-BRCT,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0034722222222222,123+++,3.91509748024028,0.0,0.0
3,001309200,e2wmiB3,AUTO_NONREP,3823.1.1.2,2wmi,B,B:744-828,B:347-429,NO_UNP,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""a/b domain in family 98 glycoside hydrolases""",Glyco_hydro_98C_N,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.25,213+++,3.6175585804726142,1.0,0.0
4,001250840,e4a0vO11,AUTO_NONREP,2487.1.1.35,4a0v,O,"O:202-232,O:264-353","O:202-232,O:264-353",Q3ZBH0,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
5,001500483,e4whbE1,AUTO_NONREP,2002.1.1.12,4whb,E,E:61-407,E:61-407,B8R4K0,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_1_N,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0001098177026136,123+++,3.91509748024028,0.0,0.0
6,001721648,e4zxhA5,AUTO_NONREP,7584.1.1.2,4zxh,A,A:457-585,A:459-587,A0A0X1KH98,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Rossmann-like domain in Acetyl-CoA synthetase-like proteins""",AMP-binding_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0065359477124183,213+++,3.6175585804726142,1.0,0.0
7,000117904,e1x1xE1,AUTO_NONREP,2489.1.1.1,1x1x,E,E:1-89,E:1-89,P11540,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Barstar (barnase inhibitor)""",Barstar,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0769230769230769,123+++,3.91509748024028,0.0,0.0
8,000134182,e3gg7A1,AUTO_NONREP,2002.1.1.14,3gg7,A,A:0-242,A:4-244,Q9RZH8,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,"MN,MPD,MRD,SO4",0.0001990445859872,123+++,3.91509748024028,0.0,0.0
9,001571793,e4dg9A4,AUTO_NONREP,7584.1.1.2,4dg9,A,A:16-134,A:18-136,Q9I4B7,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Rossmann-like domain in Acetyl-CoA synthetase-like proteins""",AMP-binding_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0065359477124183,213+++,3.6175585804726142,1.0,0.0
